915,373,0
251,477,95
753,662,73
1040,870,0
171,1029,0
890,13,0
714,885,134
208,906,0
802,618,90
60,300,0
235,456,47
430,790,57
730,649,45
391,134,0
644,704,225
199,131,0
952,40,0
724,762,195
75,272,0
32,802,0
250,602,30
287,43,0
354,513,13
375,259,24
1049,510,0
852,883,326
354,422,22
1023,895,0
419,341,28
825,225,0
747,540,38
157,1012,0
1041,572,0
595,782,301
135,265,0
165,1058,0
547,994,186
167,745,0
251,572,40
757,228,93
668,958,394
490,1005,232
361,311,53
110,94,0
553,1067,155
546,799,194
446,354,84
6,831,0
791,585,43
705,988,327
447,502,64
1051,509,0
290,419,49
36,30,0
736,849,226
1071,248,0
601,758,161
617,868,551
1081,572,0
588,1080,202
965,613,39
763,734,276
1081,823,0
965,395,0
278,628,10
725,170,22
155,94,0
244,756,9
717,650,55
190,154,0
973,122,0
176,44,0
730,274,126
843,721,273
558,1018,128
508,18,0
583,869,427
22,356,0
306,29,0
422,843,138
946,615,152
592,66,0
926,322,0
47,385,0
25,508,0
769,45,0
447,901,45
581,726,313
374,385,34
1012,733,0
258,7,0
860,984,169
443,365,47
286,2,0
648,294,165
654,870,348
130,201,0
1040,846,0
454,165,0
739,803,222
587,504,64
801,308,0
723,485,165
620,993,340
616,204,0
1009,829,0
443,376,52
295,647,11
608,789,299
275,596,20
685,531,19
771,1028,331
630,821,332
298,598,11
93,1014,0
85,58,0
81,764,0
547,507,136
451,750,160
468,510,69
960,826,166
464,228,0
702,269,174
843,318,0
467,310,42
266,311,102
76,695,0
1074,836,0
535,338,98
90,46,0
510,1007,178
138,458,0
700,1006,267
601,662,571
86,709,0
45,855,0
161,157,0
178,375,0
43,745,0
848,560,204
213,481,16
974,988,13
313,1041,503
515,298,78
827,218,0
99,705,0
13,505,0
612,14,0
53,787,0
164,292,0
739,1021,322
266,376,24
909,464,0
158,661,11
204,301,0
228,442,14
385,966,64
906,20,0
746,293,46
54,44,0
650,599,153
794,829,383
178,273,0
563,679,644
539,233,0
50,553,0
593,905,342
106,1063,0
933,191,0
